trade_date,open,high,low,close,volume
2026-03-03,143.15,144.35,130.46,130.47,50948
2026-03-04,130.19,134.25,129.72,132.56,37021
2026-03-05,135.21,137.03,131.72,135.15,38744
2026-03-06,135.15,139.35,133.52,133.6,25055
2026-03-09,128.36,131.15,124.95,130.46,39665
2026-03-10,133.85,134.95,130.86,133.88,24016
2026-03-11,133.88,135.03,128.05,129.65,33247
2026-03-12,128.7,130.85,124.85,126.38,33090
2026-03-13,137.1,139.18,137.1,139.18,22768
2026-03-16,151.56,153.26,143.55,153.26,92675
2026-03-17,160.15,168.75,151.38,168.75,108065
2026-03-18,172.16,180.35,165.5,180.23,96270
2026-03-19,172.45,178.15,170.65,173.85,63319
2026-03-20,176.42,188.04,176.05,183.27,78049
2026-03-23,175.92,178.35,170.69,172.15,61059
2026-03-24,175.25,189.53,169.46,189.53,39384
2026-03-25,203.35,208.65,195.79,198.33,100727
2026-03-26,200.66,204.81,188.89,189.35,74829
2026-03-27,181.32,185.33,178.35,183.46,55855
2026-03-30,178.43,190.33,178.43,185.76,52180
2026-03-31,185.06,185.06,174.35,178.25,52438
2026-04-01,185.35,187.13,178.68,183.05,45023
2026-04-02,183.05,187.33,174.55,176.97,41006
2026-04-03,177.05,179.87,173.05,175.65,28652
2026-04-07,177.87,177.87,170.58,171.9,28098
2026-04-08,176.35,179.25,171.15,179.25,51540
2026-04-09,175.64,197.34,174.45,197.34,60091
2026-04-10,202.35,211.24,198.84,208.85,87411
2026-04-13,204.64,214.0,202.99,209.85,59834
2026-04-14,207.96,209.35,188.7,188.7,94083
2026-04-15,190.11,195.75,182.86,183.62,84195
2026-04-16,186.41,186.95,177.09,185.42,66604
2026-04-17,184.35,185.79,180.71,184.98,51113
2026-04-20,184.34,186.35,181.85,183.17,42055
2026-04-21,183.17,190.34,182.35,185.74,66769
2026-04-22,183.87,187.33,180.86,186.63,56716
2026-04-23,185.85,186.84,180.21,183.75,45994
2026-04-24,184.34,197.55,183.35,187.47,59298
2026-04-27,187.72,197.34,184.85,193.1,59778
2026-04-28,191.16,198.24,188.45,192.05,46641
2026-04-29,189.85,192.35,186.58,190.73,41199
2026-04-30,193.61,194.23,179.35,186.65,47252
2026-05-06,190.23,205.48,187.32,200.16,78561
2026-05-07,205.15,208.05,194.45,204.35,65232
2026-05-08,200.57,205.01,196.36,199.32,39610
2026-05-11,202.35,213.1,201.4,204.55,55459
2026-05-12,202.45,206.35,184.35,193.25,89732
2026-05-13,188.35,197.68,184.36,195.6,49600
2026-05-14,195.35,197.22,183.56,186.55,40046
2026-05-15,186.35,200.35,185.15,189.05,59427
2026-05-18,192.0,195.68,182.44,183.26,48803
2026-05-19,181.0,182.85,170.03,182.85,68813
2026-05-20,182.63,193.08,182.63,188.7,56261
2026-05-21,187.35,192.8,175.76,176.9,52384
2026-05-22,177.0,179.0,170.4,176.01,47081
2026-05-25,176.0,181.68,173.15,177.69,37733
2026-05-26,178.0,178.0,162.28,165.11,65871
2026-05-27,167.3,170.36,163.1,164.43,70030
2026-05-28,165.14,165.99,158.6,160.11,52228
2026-05-29,160.0,161.89,149.9,151.2,65855
2026-06-01,149.96,152.7,146.0,146.56,43534
2026-06-02,146.74,152.45,144.11,149.65,42255
2026-06-03,149.63,155.1,148.0,150.64,50495
2026-06-04,149.0,157.0,148.0,156.0,74053
2026-06-05,159.0,171.35,153.0,170.09,125325
2026-06-08,166.25,187.1,166.25,187.1,101144
2026-06-09,199.94,205.81,199.94,205.81,32834
2026-06-10,205.0,226.39,205.0,222.06,179179
2026-06-11,227.62,237.57,223.01,230.86,105580
2026-06-12,242.8,246.98,215.48,218.08,113689
2026-06-15,220.01,224.62,209.99,215.39,99298
2026-06-16,215.39,219.68,207.0,211.07,84424
2026-06-17,207.0,232.18,206.31,232.18,99759
2026-06-18,235.0,247.65,213.0,215.52,140749
2026-06-22,214.88,222.22,205.0,213.72,93353
2026-06-23,208.99,214.64,203.82,210.8,60058
2026-06-24,209.0,231.88,208.58,231.88,64116
2026-06-25,255.07,255.07,248.11,255.07,26738
2026-06-26,256.0,270.36,247.0,260.85,140300
2026-06-29,272.03,283.57,262.27,276.2,152118
2026-06-30,276.18,285.0,263.96,272.02,113180
2026-07-01,269.3,270.65,256.61,257.81,89864
2026-07-02,247.0,250.0,232.13,234.62,85992
2026-07-03,229.52,248.29,223.33,235.89,80438
2026-07-06,240.05,240.05,218.88,227.8,58662
2026-07-07,224.61,234.32,220.5,222.19,53218
2026-07-08,228.88,233.8,218.02,219.29,56132
2026-07-09,216.84,223.0,200.95,209.58,120808
2026-07-10,216.0,230.54,214.55,214.58,100597
2026-07-13,201.83,224.57,201.83,207.9,100936
2026-07-14,212.99,223.36,203.0,219.3,96957
2026-07-15,223.44,225.0,197.41,202.57,95533
2026-07-16,195.22,200.5,185.1,188.29,65271
2026-07-17,184.29,191.76,170.92,171.3,64471
2026-07-20,177.0,177.7,154.17,154.17,72008
2026-07-21,158.84,169.59,147.06,169.59,86474
2026-07-22,169.0,177.98,166.0,168.0,89501
2026-07-23,170.8,172.0,161.66,163.35,53100
2026-07-24,160.02,172.98,158.69,165.5,61483
2026-07-27,164.38,178.25,163.0,177.44,86582
