代码,名称,ATR(14),ATR(50),BIAS(50),最大回撤,当前回撤,来源
603929,亚翔集成,12.09%,9.99%,-15.51%,-38.0%,-38.0%,国信价值
002353,杰瑞股份,10.32%,8.96%,-20.73%,-32.4%,-32.4%,国信价值
