trade_date,open,high,low,close,volume
2026-03-02,3.83,4.363,3.83,4.103,13996334
2026-03-03,3.939,4.05,3.703,3.78,15928733
2026-03-04,3.7,3.87,3.585,3.787,21538784
2026-03-05,4.1,4.166,3.973,4.099,17138326
2026-03-06,4.101,4.198,4.002,4.132,21464247
2026-03-09,3.806,4.039,3.806,3.995,15847073
2026-03-10,4.395,4.395,4.125,4.129,13095563
2026-03-11,4.2,4.23,4.009,4.037,12372892
2026-03-12,4.037,4.037,3.931,3.996,9051774
2026-03-13,3.92,4.069,3.92,3.992,11658220
2026-03-16,3.93,4.2,3.672,4.105,24626830
2026-03-17,4.15,4.199,3.961,3.97,15337470
2026-03-18,4.034,4.176,4.0,4.131,24360969
2026-03-19,4.131,4.145,4.02,4.047,15792068
2026-03-20,4.045,4.088,3.95,3.973,10755284
2026-03-23,3.83,3.915,3.613,3.663,15484434
2026-03-24,3.71,3.84,3.664,3.792,24064374
2026-03-25,4.171,4.171,3.87,3.888,14750182
2026-03-26,3.732,3.812,3.72,3.739,8155363
2026-03-27,3.739,3.845,3.65,3.757,16878099
2026-03-30,3.666,3.755,3.603,3.684,13833379
2026-03-31,3.72,3.72,3.461,3.469,10675290
2026-04-01,3.78,3.8,3.599,3.619,14590137
2026-04-02,3.257,3.548,3.257,3.443,9735358
2026-04-03,3.527,3.527,3.373,3.379,9706574
2026-04-07,3.4,3.447,3.373,3.38,9634591
2026-04-08,3.6,3.718,3.547,3.718,18883569
2026-04-09,3.68,3.875,3.646,3.696,29708299
2026-04-10,3.746,3.866,3.746,3.771,17468241
2026-04-13,3.749,3.829,3.749,3.77,10968732
2026-04-14,3.845,3.958,3.823,3.853,12832772
2026-04-15,3.89,3.988,3.797,3.815,12466087
2026-04-16,3.87,3.87,3.802,3.823,8078192
2026-04-17,3.789,3.837,3.78,3.782,8132012
2026-04-20,3.8,3.809,3.761,3.771,5692575
2026-04-21,3.8,3.88,3.736,3.872,12308227
2026-04-22,3.829,3.966,3.815,3.925,20316380
2026-04-23,3.999,4.022,3.845,3.915,16576390
2026-04-24,3.895,3.969,3.894,3.923,16144057
2026-04-27,3.996,4.26,3.985,4.226,29477927
2026-04-28,4.25,4.479,4.191,4.227,30638457
2026-04-29,4.182,4.24,4.136,4.188,13326588
2026-04-30,4.245,4.396,4.244,4.291,21901292
2026-05-06,4.72,4.72,4.72,4.72,1426287
2026-05-07,4.8,5.142,4.8,5.057,29713324
2026-05-08,4.98,5.184,4.885,5.122,22706735
2026-05-11,5.634,5.634,5.44,5.634,12651096
2026-05-12,5.577,6.059,5.411,5.598,36791745
2026-05-13,5.821,6.139,5.619,6.134,33477768
2026-05-14,6.137,6.747,5.958,6.237,14254883
2026-05-15,6.212,6.212,5.74,6.005,14653855
2026-05-18,6.0,6.385,5.405,5.662,15128376
2026-05-19,5.43,5.57,5.105,5.323,36980414
2026-05-20,5.599,5.799,5.34,5.382,11024701
2026-05-21,5.92,5.92,5.563,5.625,24379685
2026-05-22,5.625,5.729,5.571,5.708,18371169
2026-05-25,5.867,6.05,5.822,6.041,12080762
2026-05-26,6.211,6.311,6.11,6.148,11751484
2026-05-27,6.763,6.763,6.31,6.498,9304689
2026-05-28,6.49,6.505,6.029,6.07,10335232
2026-05-29,6.07,6.17,5.92,5.979,9400915
2026-06-01,6.099,6.2,5.671,5.841,22353065
2026-06-02,5.841,6.027,5.748,5.942,22612083
2026-06-03,6.04,6.16,6.031,6.136,7229632
2026-06-04,6.15,6.228,5.91,5.974,14819100
2026-06-05,5.766,5.85,5.51,5.616,14829242
2026-06-08,5.36,5.476,5.188,5.254,14916711
2026-06-09,5.432,5.779,5.411,5.779,18299640
2026-06-10,5.65,5.66,5.433,5.548,20476915
2026-06-11,5.548,5.663,5.482,5.588,9763045
2026-06-12,5.999,6.05,5.617,5.642,22118790
2026-06-15,5.9,6.026,5.888,5.989,18274006
2026-06-16,5.98,6.054,5.93,5.958,14791886
2026-06-17,6.003,6.297,5.953,6.185,26293573
2026-06-18,6.345,6.485,6.309,6.355,21358822
2026-06-22,6.5,6.529,6.418,6.494,16125320
2026-06-23,6.366,6.418,6.068,6.093,16043138
2026-06-24,6.3,6.367,6.094,6.309,21544870
2026-06-25,6.94,6.94,6.44,6.647,21509641
2026-06-26,6.414,6.578,6.222,6.47,21258992
2026-06-29,6.487,6.685,6.262,6.574,24927651
2026-06-30,6.698,6.88,6.623,6.687,20081742
2026-07-01,6.721,6.83,6.451,6.473,20487503
2026-07-02,7.12,7.12,5.915,5.971,14884447
2026-07-03,5.993,6.266,5.993,6.13,21597249
2026-07-06,6.0,6.25,5.815,6.06,25122450
2026-07-07,6.0,6.127,5.853,5.915,24339197
2026-07-08,5.915,6.085,5.801,5.831,25153812
2026-07-09,6.035,6.234,5.875,6.15,33043117
2026-07-10,6.3,6.323,5.966,5.969,21826257
2026-07-13,5.942,5.982,5.572,5.598,19898593
2026-07-14,5.589,5.829,5.196,5.66,40291886
2026-07-15,5.78,5.828,5.565,5.574,23664862
2026-07-16,5.4,5.48,5.128,5.151,23663969
2026-07-17,4.995,5.0,4.636,4.636,31788739
2026-07-20,4.836,4.859,4.453,4.535,39763088
2026-07-21,4.65,4.989,4.648,4.989,49792530
2026-07-22,5.028,5.385,5.01,5.042,44353053
2026-07-23,5.26,5.295,5.105,5.199,40859217
2026-07-24,5.15,5.452,5.058,5.07,41937756
