trade_date,open,high,low,close,volume
2025-11-19,61.0,64.71,60.12,63.59,1341788
2025-11-20,63.36,66.65,61.85,62.31,1360877
2025-11-21,58.32,58.99,56.08,56.08,943926
2025-11-24,54.79,55.0,50.48,51.59,1211399
2025-11-25,52.45,54.45,51.12,53.7,903484
2025-11-26,54.5,55.9,53.39,54.16,795488
2025-11-27,53.54,55.15,53.34,53.75,542839
2025-11-28,53.82,55.78,53.58,55.03,630001
2025-12-01,55.45,56.21,54.19,54.62,532226
2025-12-02,53.81,53.86,52.51,52.61,504030
2025-12-03,53.05,53.2,50.9,51.2,495970
2025-12-04,51.04,52.0,50.81,51.39,401564
2025-12-05,50.91,51.39,50.2,51.05,376888
2025-12-08,51.2,53.45,51.19,53.1,639978
2025-12-09,52.74,53.1,51.59,52.25,407933
2025-12-10,52.95,53.61,51.5,52.89,446508
2025-12-11,53.89,54.43,52.83,53.1,518393
2025-12-12,54.3,54.46,51.13,51.64,585150
2025-12-15,51.23,51.72,49.15,50.41,591182
2025-12-16,50.49,50.88,49.08,50.13,417546
2025-12-17,51.99,53.36,51.23,53.14,828461
2025-12-18,52.96,53.95,52.05,52.1,565806
2025-12-19,52.15,53.49,51.01,52.9,679511
2025-12-22,53.21,54.9,53.2,53.92,694686
2025-12-23,54.18,56.32,53.68,55.78,782465
2025-12-24,56.29,57.2,55.16,56.26,733359
2025-12-25,54.81,56.18,53.81,55.53,730350
2025-12-26,57.5,58.88,57.0,57.93,944968
2025-12-29,58.1,58.13,55.11,55.3,745494
2025-12-30,54.0,57.0,53.81,56.38,568600
2025-12-31,56.3,57.54,55.01,55.38,453809
2026-01-05,55.8,57.1,54.96,57.0,623355
2026-01-06,58.5,59.97,57.7,59.28,858113
2026-01-07,59.8,60.56,57.8,59.24,725155
2026-01-08,59.58,60.98,57.77,58.62,696265
2026-01-09,57.8,59.9,57.2,58.63,553955
2026-01-12,60.8,62.18,59.91,61.3,698925
2026-01-13,61.5,66.0,61.31,62.36,1045082
2026-01-14,61.46,63.33,59.23,59.82,916042
2026-01-15,59.58,62.77,59.46,61.32,687723
2026-01-16,61.4,62.66,58.61,58.73,695011
2026-01-19,58.55,59.24,57.8,58.61,362286
2026-01-20,59.61,59.99,57.81,59.49,484997
2026-01-21,59.6,61.88,59.33,61.43,635180
2026-01-22,61.82,62.65,60.29,60.65,487454
2026-01-23,61.65,63.4,61.03,62.8,712468
2026-01-26,64.0,64.55,61.48,61.71,706591
2026-01-27,61.51,62.7,59.24,61.0,544427
2026-01-28,61.5,62.22,59.73,61.11,603252
2026-01-29,59.75,60.65,58.45,59.12,587315
2026-01-30,58.25,58.25,53.21,54.55,813391
2026-02-02,53.04,54.38,52.23,52.29,520931
2026-02-03,53.5,53.8,52.24,53.47,402648
2026-02-04,53.32,53.65,52.12,52.75,333374
2026-02-05,51.79,51.79,49.18,49.44,576454
2026-02-06,48.0,51.0,47.66,50.2,431093
2026-02-09,50.92,50.94,50.06,50.35,268706
2026-02-10,50.16,50.53,49.75,50.19,195724
2026-02-11,50.24,51.33,50.08,51.15,366572
2026-02-12,51.08,51.77,50.76,51.29,285365
