trade_date,open,high,low,close,volume
2025-11-19,3.966,3.995,3.959,3.979,131863
2025-11-20,3.996,3.999,3.954,3.959,117646
2025-11-21,3.916,3.933,3.865,3.866,295067
2025-11-24,3.868,3.884,3.841,3.859,234297
2025-11-25,3.872,3.905,3.872,3.886,283488
2025-11-26,3.889,3.911,3.88,3.899,219080
2025-11-27,3.899,3.931,3.889,3.893,112930
2025-11-28,3.894,3.908,3.877,3.905,77602
2025-12-01,3.913,3.948,3.913,3.946,172017
2025-12-02,3.913,3.951,3.913,3.923,105067
2025-12-03,3.929,3.936,3.905,3.912,134843
2025-12-04,3.927,3.934,3.901,3.921,112622
2025-12-05,3.919,3.963,3.914,3.952,188983
2025-12-08,3.952,3.987,3.952,3.969,505441
2025-12-09,3.971,3.971,3.938,3.949,289275
2025-12-10,3.944,3.946,3.91,3.94,222721
2025-12-11,3.936,3.955,3.912,3.915,156871
2025-12-12,3.918,3.944,3.902,3.944,279960
2025-12-15,3.928,3.958,3.918,3.924,181493
2025-12-16,3.915,3.923,3.859,3.876,325493
2025-12-17,3.874,3.943,3.866,3.926,311346
2025-12-18,3.915,3.938,3.909,3.92,251319
2025-12-19,3.932,3.958,3.923,3.938,200078
2025-12-22,3.938,3.975,3.938,3.972,212373
2025-12-23,3.973,3.995,3.966,3.972,147878
2025-12-24,3.972,3.996,3.959,3.986,147326
2025-12-25,3.999,4.006,3.98,3.997,145195
2025-12-26,3.997,4.028,3.992,4.015,135399
2025-12-29,4.012,4.028,3.99,4.002,179563
2025-12-30,3.999,4.018,3.977,4.002,108186
2025-12-31,3.997,4.021,3.986,3.996,231157
2026-01-05,3.998,4.079,3.998,4.074,164169
2026-01-06,4.09,4.154,4.075,4.152,500333
2026-01-07,4.153,4.172,4.131,4.154,370281
2026-01-08,4.139,4.156,4.116,4.135,136500
2026-01-09,4.135,4.175,4.128,4.157,177394
2026-01-12,4.165,4.199,4.152,4.182,545557
2026-01-13,4.191,4.307,4.154,4.172,290245
2026-01-14,4.179,4.217,4.124,4.147,358408
2026-01-15,4.144,4.163,4.118,4.131,254918
2026-01-16,4.13,4.178,4.112,4.116,368258
2026-01-19,4.11,4.155,4.1,4.135,246796
2026-01-20,4.135,4.162,4.11,4.149,128173
2026-01-21,4.13,4.176,4.13,4.149,158176
2026-01-22,4.151,4.184,4.128,4.146,238802
2026-01-23,4.15,4.158,4.114,4.126,191911
2026-01-26,4.12,4.179,4.12,4.147,105213
2026-01-27,4.146,4.165,4.117,4.149,63004
2026-01-28,4.15,4.184,4.145,4.17,116979
2026-01-29,4.175,4.216,4.139,4.214,123177
2026-01-30,4.2,4.208,4.078,4.133,241616
2026-02-02,4.121,4.121,4.0,4.015,309590
2026-02-03,4.01,4.073,3.997,4.07,334722
2026-02-04,4.053,4.115,4.053,4.114,135790
2026-02-05,4.101,4.101,4.055,4.087,146860
2026-02-06,4.073,4.095,4.03,4.073,142843
2026-02-09,4.083,4.131,4.083,4.129,115036
2026-02-10,4.131,4.144,4.125,4.143,89780
2026-02-11,4.14,4.158,4.134,4.15,86690
2026-02-12,4.143,4.163,4.143,4.158,83932
2026-02-13,4.157,4.157,4.101,4.112,124889
2026-02-24,4.12,4.155,4.12,4.139,89466
2026-02-25,4.134,4.193,4.134,4.166,102050
2026-02-26,4.17,4.17,4.131,4.149,134254
2026-02-27,4.14,4.17,4.132,4.162,126851
2026-03-02,4.15,4.184,4.126,4.179,97531
2026-03-03,4.181,4.189,4.106,4.11,340988
2026-03-04,4.099,4.099,4.041,4.062,152242
2026-03-05,4.072,4.114,4.072,4.097,221557
2026-03-06,4.09,4.113,4.069,4.102,125064
2026-03-09,4.088,4.088,4.015,4.059,350226
2026-03-10,4.07,4.099,4.07,4.096,199718
2026-03-11,4.09,4.114,4.089,4.11,119953
2026-03-12,4.106,4.11,4.067,4.096,125586
2026-03-13,4.081,4.105,4.059,4.072,207529
2026-03-16,4.07,4.07,4.011,4.053,165193
2026-03-17,4.05,4.089,4.025,4.028,282244
2026-03-18,4.025,4.054,3.99,4.032,294621
2026-03-19,3.997,4.0,3.942,3.958,349329
2026-03-20,3.956,3.97,3.904,3.91,294236
2026-03-23,3.862,3.873,3.758,3.778,185509
2026-03-24,3.798,3.842,3.775,3.837,145379
2026-03-25,3.848,3.894,3.848,3.89,186249
2026-03-26,3.874,3.894,3.828,3.839,121194
2026-03-27,3.813,3.864,3.803,3.855,137028
2026-03-30,3.839,3.852,3.806,3.849,133174
2026-03-31,3.849,3.885,3.827,3.83,189526
2026-04-01,3.883,3.901,3.85,3.894,120758
2026-04-02,3.896,3.896,3.841,3.859,148989
2026-04-03,3.859,3.871,3.815,3.825,101921
2026-04-07,3.825,3.84,3.817,3.823,148471
2026-04-08,3.859,3.94,3.858,3.939,365445
2026-04-09,3.924,3.924,3.896,3.909,101244
2026-04-10,3.916,3.961,3.916,3.943,147707
2026-04-13,3.933,3.942,3.918,3.933,73186
2026-04-14,3.94,3.975,3.939,3.974,141516
2026-04-15,3.983,4.005,3.97,3.974,340582
2026-04-16,3.978,3.997,3.974,3.994,97059
2026-04-17,3.974,3.982,3.958,3.966,150695
2026-04-20,3.972,4.003,3.959,3.994,121856
2026-04-21,3.994,4.006,3.975,4.001,145437
2026-04-22,3.998,4.014,3.989,4.012,96695
2026-04-23,4.013,4.03,3.986,4.012,128673
2026-04-24,4.009,4.013,3.978,4.005,186660
2026-04-27,4.005,4.024,4.002,4.015,153616
2026-04-28,4.011,4.04,4.005,4.022,121952
2026-04-29,4.021,4.052,4.006,4.049,147026
2026-04-30,4.047,4.064,4.044,4.056,204115
2026-05-06,4.067,4.138,4.067,4.127,182809
2026-05-07,4.128,4.145,4.12,4.138,166672
2026-05-08,4.128,4.128,4.095,4.117,154393
2026-05-11,4.127,4.192,4.127,4.186,382523
2026-05-12,4.186,4.194,4.162,4.175,407589
2026-05-13,4.161,4.21,4.153,4.208,441402
2026-05-14,4.224,4.226,4.126,4.127,164046
2026-05-15,4.138,4.139,4.054,4.07,260641
2026-05-18,4.061,4.082,4.034,4.059,257709
2026-05-19,4.059,4.094,4.026,4.094,470390
2026-05-20,4.066,4.11,4.066,4.102,494181
2026-05-21,4.109,4.157,4.033,4.044,683576
2026-05-22,4.068,4.069,4.022,4.068,766171
2026-05-25,4.068,4.122,4.068,4.122,1460870
2026-05-26,4.101,4.146,4.086,4.146,1473387
2026-05-27,4.139,4.149,4.072,4.086,1229382
2026-05-28,4.086,4.086,4.021,4.055,533047
2026-05-29,4.058,4.089,4.039,4.055,570243
2026-06-01,4.04,4.063,4.012,4.021,230609
2026-06-02,4.02,4.066,4.001,4.048,245824
2026-06-03,4.048,4.086,4.033,4.06,531154
2026-06-04,4.033,4.053,4.015,4.028,387469
2026-06-05,4.004,4.037,3.96,3.975,224837
2026-06-08,3.95,3.957,3.865,3.893,207451
2026-06-09,3.894,3.943,3.886,3.94,166022
2026-06-10,3.924,3.954,3.909,3.935,122097
2026-06-11,3.919,3.929,3.895,3.927,124322
2026-06-12,3.942,4.012,3.942,3.978,298795
2026-06-15,3.999,4.052,3.999,4.05,645712
2026-06-16,4.046,4.069,4.014,4.025,514124
2026-06-17,4.017,4.064,4.007,4.062,619264
2026-06-18,4.042,4.087,4.035,4.066,715005
2026-06-22,4.055,4.172,4.042,4.165,463330
2026-06-23,4.154,4.169,4.037,4.056,545407
2026-06-24,4.045,4.092,4.044,4.086,646355
2026-06-25,4.087,4.146,4.079,4.134,683905
2026-06-26,4.12,4.123,4.015,4.045,244069
2026-06-29,4.05,4.139,4.036,4.123,532313
2026-06-30,4.114,4.132,4.091,4.128,386836
2026-07-01,4.131,4.16,4.091,4.125,344712
2026-07-02,4.092,4.109,4.012,4.032,493556
2026-07-03,4.022,4.093,4.022,4.061,611415
2026-07-06,4.069,4.109,4.039,4.079,282283
2026-07-07,4.051,4.07,4.006,4.026,239660
2026-07-08,4.014,4.052,3.994,3.999,243190
2026-07-09,3.994,4.092,3.978,4.084,211137
2026-07-10,4.086,4.137,4.054,4.062,250248
2026-07-13,4.049,4.054,3.951,3.968,249439
2026-07-14,3.949,4.026,3.916,4.023,224854
2026-07-15,4.023,4.046,4.014,4.025,120946
2026-07-16,3.979,4.004,3.929,3.944,244458
2026-07-17,3.907,3.935,3.817,3.842,379251
2026-07-20,3.844,3.919,3.844,3.895,299235
2026-07-21,3.907,3.996,3.879,3.994,246395
2026-07-22,3.968,4.04,3.966,4.006,252023
2026-07-23,4.011,4.035,3.995,4.019,217622
2026-07-24,3.991,3.996,3.95,3.955,225908
2026-07-27,3.962,3.975,3.926,3.972,138091
2026-07-28,3.949,3.95,3.906,3.923,222709
2026-07-29,3.916,3.958,3.887,3.943,274333
2026-07-30,3.937,3.954,3.883,3.924,264486
2026-07-31,3.96,3.979,3.946,3.956,190000
2026-08-03,3.944,3.948,3.901,3.917,159813
2026-08-04,3.909,3.931,3.903,3.92,106904
2026-08-05,3.917,4.005,3.917,3.99,282643
2026-08-06,3.97,3.999,3.97,3.996,215709
2026-08-07,3.988,4.047,3.987,4.047,168593
2026-08-10,4.047,4.079,4.043,4.069,144138
2026-08-11,4.071,4.071,4.011,4.018,96948
2026-08-12,4.015,4.031,4.008,4.03,120294
2026-08-13,4.035,4.049,3.995,4.004,236852
2026-08-14,4.004,4.004,3.969,3.993,147379
2026-08-17,3.993,4.044,3.984,4.044,164524
2026-08-18,4.041,4.046,4.008,4.039,150248
2026-08-19,4.008,4.008,3.936,3.952,180810
2026-08-20,3.965,3.984,3.934,3.947,130424
2026-08-21,3.938,3.958,3.933,3.953,142882
2026-08-24,3.956,3.956,3.894,3.914,138773
2026-08-25,3.901,3.928,3.89,3.918,125802
2026-08-26,3.912,3.972,3.912,3.952,130721
2026-08-27,3.958,3.997,3.952,3.99,153671
2026-08-28,3.995,3.999,3.983,3.988,114680
2026-08-31,3.968,3.996,3.939,3.991,185086
2026-09-01,3.985,4.007,3.985,3.995,96053
2026-09-02,3.987,3.987,3.936,3.95,130915
2026-09-03,3.953,3.981,3.946,3.961,171143
2026-09-04,3.982,4.0,3.942,3.967,226806
2026-09-07,3.967,3.979,3.936,3.953,146221
2026-09-08,3.955,3.97,3.943,3.959,162508
2026-09-09,3.956,3.972,3.947,3.964,145122
2026-09-10,3.964,3.965,3.939,3.951,129529
2026-09-11,3.933,3.948,3.865,3.9,180005
