trade_date,open,high,low,close,volume
2025-11-19,57.07,57.08,52.95,54.5,77962
2025-11-20,54.48,55.15,51.88,52.44,50273
2025-11-21,51.88,54.1,50.35,50.85,48578
2025-11-24,52.16,53.15,49.36,52.82,54846
2025-11-25,52.39,55.96,51.75,54.85,50611
2025-11-26,54.81,57.3,53.85,55.05,41540
2025-11-27,54.4,57.56,54.4,56.68,40866
2025-11-28,56.09,59.35,55.44,59.31,67320
2025-12-01,58.35,61.5,56.38,60.94,51423
2025-12-02,60.34,67.2,59.85,66.45,81904
2025-12-03,66.52,71.95,65.84,67.6,83075
2025-12-04,67.34,69.93,64.15,67.55,71537
2025-12-05,68.19,70.85,64.55,69.59,62063
2025-12-08,68.6,75.85,67.68,75.85,62284
2025-12-09,75.35,77.55,72.17,75.36,59910
2025-12-10,74.43,74.59,70.53,72.06,57644
2025-12-11,72.15,79.43,71.63,79.43,62313
2025-12-12,79.43,87.54,79.37,87.54,82625
2025-12-15,87.54,91.34,84.38,85.42,68626
2025-12-16,86.34,92.14,84.92,90.85,66678
2025-12-17,86.75,90.84,85.21,88.37,53199
2025-12-18,87.85,95.35,85.43,92.68,65301
2025-12-19,94.41,94.41,87.35,87.86,55419
2025-12-22,86.8,96.81,85.35,96.81,57789
2025-12-23,100.35,106.66,100.35,106.66,81428
2025-12-24,108.92,114.19,104.35,105.64,145967
2025-12-25,107.79,108.32,99.52,104.35,103478
2025-12-26,105.35,114.95,98.35,98.95,160680
2025-12-29,97.63,99.01,91.4,92.71,133663
2025-12-30,93.35,97.03,91.35,91.35,102791
2025-12-31,93.58,95.01,90.23,93.85,84244
2026-01-05,96.34,103.4,95.76,103.4,62712
2026-01-06,107.25,113.91,105.68,113.91,73983
2026-01-07,116.69,120.95,111.41,115.75,126436
2026-01-08,115.16,119.06,113.0,117.35,86570
2026-01-09,115.35,124.35,113.86,123.85,83861
2026-01-12,123.35,128.15,119.85,122.94,72799
2026-01-13,122.35,134.03,121.2,124.51,55046
2026-01-14,124.23,137.13,124.23,137.13,45006
2026-01-15,138.35,147.95,137.13,146.95,77425
2026-01-16,143.35,161.81,143.09,161.81,54967
