trade_date,open,high,low,close,volume
2025-11-19,105.589,105.929,105.269,105.689,77111
2025-11-20,105.409,107.079,105.409,106.489,143389
2025-11-21,106.279,107.169,105.859,106.279,150221
2025-11-24,106.279,106.999,105.299,106.519,135527
2025-11-25,106.449,106.629,105.499,106.459,94645
2025-11-26,106.399,107.409,106.119,106.769,98032
2025-11-27,106.379,106.589,105.619,106.049,85382
2025-11-28,105.839,106.199,105.409,105.499,79618
2025-12-01,104.499,105.129,104.309,104.849,176233
2025-12-02,104.669,105.399,104.579,105.149,104787
2025-12-03,105.149,105.449,104.319,104.439,103647
2025-12-04,104.479,104.739,103.719,103.909,117539
2025-12-05,103.999,104.129,102.849,103.269,146012
2025-12-08,103.269,103.399,102.219,102.309,194374
2025-12-09,102.289,102.799,102.219,102.719,101809
2025-12-10,102.569,102.799,102.259,102.499,67077
2025-12-11,102.499,102.659,102.089,102.109,83739
2025-12-12,102.109,102.279,101.719,102.159,159452
2025-12-15,102.199,102.239,100.599,100.609,195471
2025-12-16,100.599,101.049,99.909,100.789,109069
2025-12-17,100.699,100.699,99.599,100.109,119595
2025-12-18,99.999,100.339,99.599,99.699,97917
2025-12-19,99.809,100.229,99.659,99.959,88207
2025-12-22,99.809,100.059,98.659,98.959,205924
2025-12-23,98.799,99.089,98.619,98.789,127708
2025-12-24,98.739,99.739,97.899,99.319,164374
2025-12-25,99.199,99.269,98.149,98.309,176342
2025-12-26,98.099,98.909,97.919,98.639,147363
2025-12-29,98.559,99.389,98.049,98.379,177896
2025-12-30,98.299,98.699,98.019,98.149,87888
2025-12-31,98.149,98.929,98.149,98.849,107082
2026-01-05,99.179,99.239,97.799,98.379,214780
2026-01-06,98.379,98.529,97.929,98.459,152288
2026-01-07,98.389,98.819,98.019,98.099,156919
2026-01-08,98.099,98.249,97.839,97.919,131817
2026-01-09,97.919,98.159,97.339,97.919,181778
2026-01-12,98.239,98.389,97.799,98.199,161182
2026-01-13,98.209,98.689,97.819,97.979,172108
2026-01-14,97.979,98.009,96.799,96.829,262124
2026-01-15,96.749,96.749,94.799,94.899,284762
2026-01-16,94.929,95.609,93.799,94.079,217860
2026-01-19,94.079,94.549,93.549,94.299,123916
2026-01-20,94.299,95.239,94.069,95.119,130213
2026-01-21,94.899,94.899,93.799,93.939,133323
2026-01-22,94.029,94.729,93.899,94.049,97707
2026-01-23,94.209,94.209,93.039,93.179,157813
2026-01-26,93.159,93.689,92.529,92.599,194694
2026-01-27,92.619,92.889,92.049,92.059,148865
2026-01-28,92.059,93.929,91.599,93.499,235716
2026-01-29,93.139,94.799,92.509,94.779,209055
2026-01-30,94.679,95.399,94.019,94.179,137526
2026-02-02,90.899,91.219,89.309,90.459,321362
2026-02-03,90.459,90.599,89.679,89.869,151625
2026-02-04,89.809,92.799,89.779,92.729,194851
2026-02-05,92.729,93.749,92.499,93.159,109096
2026-02-06,93.319,93.549,92.629,92.909,81323
2026-02-09,92.969,93.039,91.869,92.039,111199
2026-02-10,91.999,92.369,91.309,91.649,121503
2026-02-11,91.669,92.129,91.669,91.949,52034
2026-02-12,91.989,92.079,90.899,91.089,85707
2026-02-13,91.149,91.269,90.359,90.409,88730
2026-02-24,90.799,92.599,90.569,92.469,124113
2026-02-25,92.319,92.639,91.769,92.029,90823
2026-02-26,92.079,92.329,91.209,91.769,76672
2026-02-27,91.759,92.119,91.409,92.109,61686
2026-03-02,91.699,93.759,91.499,93.379,157657
2026-03-03,93.469,94.239,93.079,93.429,136229
2026-03-04,93.399,93.409,91.519,92.209,134148
2026-03-05,92.199,93.759,91.879,93.409,116805
2026-03-06,92.969,93.709,92.749,93.409,77541
2026-03-09,93.109,94.239,92.779,93.009,134613
2026-03-10,92.959,93.219,92.329,93.199,83736
