代码,指数代码,指数名,份额
511130,950175,上证30年期国债指数,172589660
511150,950167,上证AAA科技创新公司债指数,113590903
511160,931552,中证1-3年国债指数,29950915
511180,950041,上证投资级可转债及可交换债券指数,923459729
511190,950245,上证基准做市公司债指数,122494302
511200,950245,上证基准做市公司债指数,197217452
511220,H11098,上证城投债指数,5277781350
511260,H11077,上证10年期国债指数,147408381
511270,950109,上证10年期地方政府债指数,86267471
511360,H11014,中证短融指数,709784636
511380,931078,中证可转债及可交换债券指数,4320886670
511520,CBA08203,中债-7-10年政策性金融债全价(总值)指数,358276487
511580,932200,中证国债及政策性金融债0-3年指数,112110811
511600,--,--,730575
511620,--,--,4127181
511650,--,--,1207768
511660,--,--,81269560
511670,--,--,146735
511690,--,--,5959242
511700,--,--,15740285
511770,--,--,404222
511800,--,--,1617748
511810,--,--,3673911
511820,--,--,650286
511830,--,--,318204
511850,--,--,8946371
511860,--,--,406635
511880,--,--,790544340
511900,--,--,1827185
511910,--,--,93112
511920,--,--,340734
511930,--,--,203581
511950,--,--,327137
511960,--,--,290443
511970,--,--,422704
511980,--,--,240902
511990,--,--,783509676
512000,399975,中证全指证券公司指数,71054435366
512010,000913,沪深300医药卫生指数,49106694936
512020,000510,中证A500指数,941012667
512030,930050,中证A50指数,43240000
512040,931052,中证国信价值指数,4159715870
512050,000510,中证A500指数,13255992187
512060,000903,中证A100指数,8928000
512070,H30035,沪深300非银行金融指数,17597479691
512080,000510,中证A500指数,596186062
512090,716567,MSCI中国A股国际通指数,327592316
512100,000852,中证1000指数,3077217646
512120,000814,细分医药,850241927
512130,932365,中证全指自由现金流指数,13895000
512140,H30199,中证全指电力公用事业指数,161049000
512150,XIN9,富时中国A50指数,19073350
512160,716567,MSCI中国A股国际通指数,121777775
512170,399989,中证医疗指数,83680820474
512180,716567,MSCI中国A股国际通指数,48048000
512190,930758,中证浙江凤凰行动50指数,151118422
512200,931775,中证全指房地产指数,2658097902
512220,H30318,中证科技传媒通信150指数,187467642
512240,930050,中证A50指数,17186000
512250,930050,中证A50指数,131600110
512260,930782,中证500行业中性低波动指数,22097720
512290,930726,中证生物医药指数,3876820694
512330,000858,中证500信息技术指数,356688000
512360,704843,MSCI中国A股国际指数,27337704
512370,000510,中证A500指数,329313000
512380,718711,MSCI中国A股人民币指数,72805582
512390,707918,MSCI中国A股低波指数,18681999
512400,000819,有色金属,12162039000
512410,399986,中证银行指数,261871651
512413,,,0
512420,931752,中证工程机械主题指数,206238925
512423,,,0
512430,931241,中证家居家电指数,31720000
512450,931946,中证畜牧养殖产业指数,111367000
512460,931719,中证电池主题指数,155823000
512480,H30184,中证全指半导体产品与设备指数,17366007200
512500,000905,中证500指数,1559208794
512510,000905,中证500指数,397429801
512520,716567,MSCI中国A股国际通指数,42056394
512530,000821,沪深300红利指数,102501993
512550,XIN9,富时中国A50指数,109905968
512560,399967,中证军工指数,782126992
512570,399975,中证全指证券公司指数,3364806068
512580,000827,中证环保产业指数,583471654
512600,000932,中证主要消费指数,1538756120
512620,000949,中证农业主题指数,1167666000
512630,931594,中证卫星产业指数,1493426000
512640,000934,中证金融地产指数,24240886
512650,931141,中证长三角一体化发展主题指数,36941627
512660,399967,中证军工指数,5270079995
512670,399973,中证国防指数,1924652628
512680,399967,中证军工指数,3340130140
512690,399987,中证酒指数,34449550174
512700,399986,中证银行指数,777581000
512710,931066,中证军工龙头指数,11231658398
512720,930651,中证计算机主题指数,391453447
512730,399986,中证银行指数,71583874
512750,000925,中证锐联基本面50指数,47454906
512760,990001,中华交易服务半导体芯片行业人民币指数,8645445544
512770,000171,中国战略新兴产业成份指数,99767789
512800,399986,中证银行指数,14423679906
512810,399967,中证军工指数,945583454
512820,399986,中证银行指数,450701877
512870,931033,中证杭州湾区指数,21410637
512880,399975,中证全指证券公司指数,52787291482
512890,H30269,中证红利低波动指数,29331110780
512900,399975,中证全指证券公司指数,7170906000
512910,000903,中证A100指数,131128764
512930,930713,中证人工智能主题指数,4216521332
512940,931892,中证有色金属矿业主题指数,2187705000
512950,000860,中证央企结构调整指数,4046550969
512960,000860,中证央企结构调整指数,3858457287
512970,931000,中证粤港澳大湾区发展主题指数,9987638
512980,399971,中证传媒指数,4205924439
512990,716567,MSCI中国A股国际通指数,99015418
513000,N225,东京日经225指数,981411379
513010,HSTECH,恒生科技指数,45444307000
513020,931573,中证港股通科技指数,2708145428
513030,GDAXI,法兰克福DAX指数,1014779000
513040,931637,中证港股通互联网指数,5823341318
513050,H30533,中证海外中国互联网50人民币指数,33554432720
513060,HSHCI,恒生医疗保健指数,11235393320
513070,931454,中证港股通消费主题港元指数,1237760826
513080,FCHI,法国CAC40指数,634916000
513090,930709,中证香港证券投资主题港元指数,10577488000
513100,NDX100,纳斯达克100指数,9465110600
513110,NDX100,纳斯达克100指数,2158435000
513120,931787,中证香港创新药港币指数,22608635422
513130,HSTECH,恒生科技指数,65292347000
513140,H30106,中证港股通金融服务指数,83868000
513150,931573,中证港股通科技指数,117059805
513160,HSSCT,恒生港股通中国科技指数,3482189251
513170,HSCSOE,恒生中国央企指数,208573000
513180,HSTECH,恒生科技指数,72848759500
513190,H11146,中证港股通内地金融港元指数,993936000
513200,930965,中证港股通医药卫生综合港元指数,1044282072
